timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2,absolute_humidity
2025-07-05 12:50:27,P2,25.09621,67.04921,997.3218,142182,,15.52
2025-07-05 12:50:57,P2,25.09426,67.1908,997.3158,141727,,15.55
2025-07-05 12:51:27,P2,25.08332,67.29029,997.2887,141727,,15.56
2025-07-05 12:51:57,P2,25.07238,67.27567,997.2578,142411,,15.55
2025-07-05 12:52:28,P2,25.08293,67.23824,997.2354,141727,,15.55
2025-07-05 12:52:58,P2,25.10598,67.24046,997.2562,141727,,15.57
2025-07-05 12:53:28,P2,25.10383,67.36172,997.2369,141049,,15.6
2025-07-05 12:53:58,P2,25.10754,67.38405,997.2604,141049,,15.61
2025-07-05 12:54:28,P2,25.12824,67.36717,997.2787,141274,,15.62
2025-07-05 12:54:59,P2,25.13547,67.56319,997.2617,140712,,15.67
2025-07-05 12:55:29,P2,25.13137,67.60489,997.265,140266,,15.68
2025-07-05 12:55:59,P2,25.1425,67.63956,997.2865,140712,,15.7
2025-07-05 12:56:29,P2,25.14055,67.74829,997.2759,140155,,15.72
2025-07-05 12:57:00,P2,25.14953,67.77771,997.2969,140377,,15.74
2025-07-05 12:57:30,P2,25.17101,67.76103,997.2791,139712,,15.75
2025-07-05 12:58:00,P2,25.18977,67.84481,997.2699,140044,,15.79
2025-07-05 12:58:30,P2,25.19641,67.95432,997.2805,139272,,15.82
2025-07-05 12:59:00,P2,25.20109,67.94859,997.2709,139491,,15.82
2025-07-05 12:59:31,P2,25.21027,68.03217,997.2541,139491,,15.85
2025-07-05 13:00:01,P2,25.22512,68.08205,997.2712,138943,,15.87
2025-07-05 13:00:31,P2,25.24621,68.05878,997.2466,138943,,15.89
2025-07-05 13:01:01,P2,25.26105,68.16872,997.2369,139162,,15.93
2025-07-05 13:01:31,P2,25.25402,68.18119,997.2154,138617,,15.92
2025-07-05 13:02:02,P2,25.25129,68.21497,997.2227,138508,,15.93
2025-07-05 13:02:32,P2,25.24992,68.3645,997.2377,138834,,15.96
2025-07-05 13:03:02,P2,25.25129,68.33786,997.2288,137539,,15.96
2025-07-05 13:03:32,P2,25.26223,68.38086,997.2157,138184,,15.98
2025-07-05 13:04:03,P2,25.26984,68.44262,997.2142,138400,,16.0
2025-07-05 13:04:33,P2,25.26887,68.46337,997.2101,137646,,16.0
2025-07-05 13:05:03,P2,25.27219,68.44344,997.2065,138400,,16.0
2025-07-05 13:05:33,P2,25.27883,68.48585,997.2039,138076,,16.02
2025-07-05 13:06:03,P2,25.28859,68.49389,997.2121,138076,,16.03
2025-07-05 13:06:34,P2,25.29738,68.47536,997.214,137432,,16.03
2025-07-05 13:07:04,P2,25.31594,68.42973,997.2509,136900,,16.04
2025-07-05 13:07:34,P2,25.31516,68.53873,997.2263,137325,,16.06
2025-07-05 13:08:04,P2,25.31301,68.56549,997.1997,137432,,16.06
2025-07-05 13:08:34,P2,25.30832,68.65351,997.149,137219,,16.08
2025-07-05 13:09:05,P2,25.30891,68.62669,997.1389,137112,,16.08
2025-07-05 13:09:35,P2,25.31105,68.57211,997.1517,137219,,16.06
2025-07-05 13:10:05,P2,25.31613,68.54628,997.1433,137112,,16.06
2025-07-05 13:10:35,P2,25.33234,68.44707,997.1523,136900,,16.05
2025-07-05 13:11:05,P2,25.36301,68.1053,997.1694,137753,,16.0
2025-07-05 13:11:36,P2,25.39133,67.94534,997.1445,137219,,15.99
2025-07-05 13:12:06,P2,25.40168,67.78407,997.1555,136794,,15.96
2025-07-05 13:12:36,P2,25.41066,67.80544,997.1375,136900,,15.97
2025-07-05 13:13:06,P2,25.41789,67.61014,997.1494,136583,,15.93
2025-07-05 13:13:37,P2,25.43059,67.59801,997.1439,135953,,15.94
2025-07-05 13:14:07,P2,25.44113,67.53214,997.1351,136794,,15.94
2025-07-05 13:14:37,P2,25.45109,67.58784,997.1396,135744,,15.96
2025-07-05 13:15:07,P2,25.44836,67.48449,997.1607,136794,,15.93
2025-07-05 13:15:37,P2,25.42922,67.50183,997.1342,136583,,15.92
2025-07-05 13:16:08,P2,25.42082,67.29814,997.1213,136900,,15.86
2025-07-05 13:16:38,P2,25.42258,67.32459,997.1062,136267,,15.87
2025-07-05 13:17:08,P2,25.42199,67.09561,997.0857,136583,,15.82
2025-07-05 13:17:38,P2,25.43527,67.20501,997.0822,136794,,15.85
2025-07-05 13:18:09,P2,25.43059,67.31955,997.0834,137539,,15.88
2025-07-05 13:18:39,P2,25.42199,67.29002,997.0954,137112,,15.86
2025-07-05 13:19:09,P2,25.405,67.22063,997.0931,136689,,15.83
2025-07-05 13:19:39,P2,25.40051,67.18539,997.0975,136900,,15.82
2025-07-05 13:20:09,P2,25.38879,67.17683,997.0928,137219,,15.81
2025-07-05 13:20:40,P2,25.37922,67.189,997.0889,137219,,15.8
2025-07-05 13:21:10,P2,25.38273,67.11609,997.0745,136900,,15.79
2025-07-05 13:21:39,P2,25.39738,67.06412,997.0745,138076,,15.79
2025-07-05 13:22:09,P2,25.40871,67.03878,997.0676,137432,,15.79
2025-07-05 13:22:39,P2,25.41477,67.26959,997.0694,136900,,15.85
2025-07-05 13:23:09,P2,25.41535,67.29021,997.0612,136583,,15.86
2025-07-05 13:23:40,P2,25.4132,67.28915,997.0535,136478,,15.85
2025-07-05 13:24:10,P2,25.4007,67.43559,997.0392,135744,,15.88
2025-07-05 13:24:40,P2,25.37043,67.72263,997.0427,135953,,15.92
2025-07-05 13:25:10,P2,25.33488,67.88666,997.0438,136900,,15.93
2025-07-05 13:25:40,P2,25.29367,68.02264,997.0156,135849,,15.92
2025-07-05 13:26:11,P2,25.25598,68.09853,996.9937,136478,,15.9
2025-07-05 13:26:41,P2,25.22082,68.20813,996.9872,136583,,15.9
2025-07-05 13:27:11,P2,25.20246,68.1058,996.9943,137112,,15.86
2025-07-05 13:27:41,P2,25.21281,68.10609,996.9896,136372,,15.87
2025-07-05 13:28:12,P2,25.20168,68.15193,996.9624,137860,,15.87
2025-07-05 13:28:42,P2,25.19895,68.09124,996.9509,137646,,15.85
2025-07-05 13:29:12,P2,25.21027,68.08653,996.9507,136689,,15.86
2025-07-05 13:29:42,P2,25.22434,68.04105,996.934,136900,,15.86
2025-07-05 13:30:12,P2,25.24484,67.8075,996.9387,136900,,15.83
2025-07-05 13:30:43,P2,25.28898,67.40057,996.95,135953,,15.77
2025-07-05 13:31:13,P2,25.33098,67.1969,996.9332,135849,,15.76
2025-07-05 13:31:43,P2,25.35617,67.28738,996.9376,135433,,15.8
2025-07-05 13:32:13,P2,25.34191,67.4671,996.9231,135849,,15.83
2025-07-05 13:32:43,P2,25.31242,67.65923,996.908,136478,,15.85
2025-07-05 13:33:14,P2,25.29211,67.61636,996.892,136794,,15.82
2025-07-05 13:33:44,P2,25.27727,67.66008,996.8589,136372,,15.82
2025-07-05 13:34:14,P2,25.25344,67.71876,996.8491,136689,,15.81
2025-07-05 13:34:44,P2,25.24836,67.70393,996.858,135640,,15.81
2025-07-05 13:35:14,P2,25.24699,67.60993,996.8352,136689,,15.78
2025-07-05 13:35:45,P2,25.24641,67.68264,996.845,136267,,15.8
2025-07-05 13:36:15,P2,25.2302,67.74281,996.815,135953,,15.8
2025-07-05 13:36:45,P2,25.24016,67.63577,996.8016,136478,,15.78
2025-07-05 13:37:15,P2,25.24543,67.59522,996.8068,136478,,15.78
2025-07-05 13:37:45,P2,25.24523,67.5482,996.8148,135329,,15.77
2025-07-05 13:38:16,P2,25.25383,67.53623,996.8176,135640,,15.77
2025-07-05 13:38:46,P2,25.26105,67.5163,996.8176,135849,,15.77
2025-07-05 13:39:16,P2,25.25461,67.47424,996.7857,135536,,15.76
2025-07-05 13:39:46,P2,25.2509,67.50163,996.801,134916,,15.76
2025-07-05 13:40:17,P2,25.25559,67.45442,996.7911,136267,,15.75
2025-07-05 13:40:47,P2,25.25246,67.63694,996.7822,135849,,15.79
2025-07-05 13:41:17,P2,25.24426,67.62172,996.7651,135019,,15.78
2025-07-05 13:41:47,P2,25.22844,67.63249,996.7449,136058,,15.77
2025-07-05 13:42:17,P2,25.21848,67.5845,996.7463,136162,,15.75
2025-07-05 13:42:48,P2,25.2218,67.59782,996.7658,136372,,15.76
2025-07-05 13:43:17,P2,25.2091,67.63594,996.7419,135849,,15.75
2025-07-05 13:43:47,P2,25.18977,67.68756,996.7344,136900,,15.75
2025-07-05 13:44:17,P2,25.17922,67.71348,996.7523,135640,,15.75
2025-07-05 13:44:47,P2,25.17961,67.57153,996.7413,136267,,15.71
2025-07-05 13:45:18,P2,25.18977,67.57996,996.7466,136267,,15.72
2025-07-05 13:45:48,P2,25.19602,67.57333,996.7276,136372,,15.73
2025-07-05 13:46:18,P2,25.19035,67.58642,996.7271,136267,,15.73
2025-07-05 13:46:48,P2,25.19445,67.54683,996.7299,135849,,15.72
2025-07-05 13:47:19,P2,25.2009,67.55412,996.716,135640,,15.73
2025-07-05 13:47:49,P2,25.20774,67.39351,996.6843,135744,,15.7
2025-07-05 13:48:19,P2,25.21535,67.46075,996.6687,135536,,15.72
2025-07-05 13:48:49,P2,25.20266,67.45258,996.6518,136058,,15.71
2025-07-05 13:49:19,P2,25.2009,67.45224,996.6703,135640,,15.7
2025-07-05 13:49:50,P2,25.19406,67.54566,996.6597,135953,,15.72
2025-07-05 13:50:20,P2,25.18742,67.4708,996.6501,136267,,15.7
2025-07-05 13:50:50,P2,25.19387,67.37018,996.6459,134813,,15.68
2025-07-05 13:51:20,P2,25.1966,67.39734,996.6066,135744,,15.69
2025-07-05 13:51:50,P2,25.19387,67.29552,996.5993,135536,,15.66
2025-07-05 13:52:21,P2,25.19797,67.479,996.5962,135433,,15.71
2025-07-05 13:52:51,P2,25.19641,67.41071,996.6047,135953,,15.69
2025-07-05 13:53:21,P2,25.18937,67.40271,996.6002,135536,,15.68
2025-07-05 13:53:51,P2,25.19035,67.35655,996.5887,136058,,15.67
2025-07-05 13:54:21,P2,25.19602,67.41725,996.5775,135329,,15.69
2025-07-05 13:54:52,P2,25.18918,67.30768,996.5734,135744,,15.66
2025-07-05 13:55:21,P2,25.18937,67.29503,996.5876,136372,,15.66
2025-07-05 13:55:51,P2,25.19406,67.3424,996.5773,135019,,15.67
2025-07-05 13:56:21,P2,25.1925,67.41756,996.5667,135849,,15.69
2025-07-05 13:56:51,P2,25.19953,67.36415,996.5601,134916,,15.68
2025-07-05 13:57:22,P2,25.18996,67.4426,996.5463,135433,,15.69
2025-07-05 13:57:52,P2,25.16496,67.44571,996.5594,135226,,15.67
2025-07-05 13:58:22,P2,25.14855,67.50463,996.5546,135953,,15.67
2025-07-05 13:58:52,P2,25.15012,67.31609,996.5531,135640,,15.63
2025-07-05 13:59:23,P2,25.16379,67.37238,996.5573,135433,,15.65
2025-07-05 13:59:53,P2,25.17512,67.29958,996.5377,135433,,15.65
2025-07-05 14:00:23,P2,25.18488,67.52484,996.5506,135122,,15.71
2025-07-05 14:00:53,P2,25.19074,67.39653,996.5418,135433,,15.68
2025-07-05 14:01:23,P2,25.19191,67.36955,996.5391,135122,,15.68
2025-07-05 14:01:54,P2,25.19484,67.30221,996.5372,135019,,15.66
2025-07-05 14:02:24,P2,25.19602,67.30254,996.5182,135329,,15.67
2025-07-05 14:02:54,P2,25.20559,67.20935,996.5007,134813,,15.65
2025-07-05 14:03:24,P2,25.205,67.28289,996.5042,134813,,15.67
2025-07-05 14:03:54,P2,25.19035,67.35474,996.4816,135329,,15.67
2025-07-05 14:04:25,P2,25.16809,67.54076,996.4698,135640,,15.7
2025-07-05 14:04:55,P2,25.1634,67.34622,996.4761,134506,,15.65
2025-07-05 14:05:25,P2,25.19035,67.29509,996.4641,135019,,15.66
2025-07-05 14:05:55,P2,25.19191,67.25372,996.4584,134916,,15.65
2025-07-05 14:06:26,P2,25.17922,67.32655,996.4551,135122,,15.66
2025-07-05 14:06:56,P2,25.17902,67.40883,996.429,135019,,15.68
2025-07-05 14:07:26,P2,25.18723,67.47668,996.4381,135226,,15.7
